Yil,Ay,Donem,Sanayi_Tuketim_MWh,Sanayi_Pay_Yuzde,Kaynak_Dosya
2016,1,2016-01,6717607.62,37.46,_PortalAdmin_Uploads_Content_FastAccess_Elk_YayinRapor_Ocak_2016d3f8d660.docx
2016,2,2016-02,6847598.6,41.23,_PortalAdmin_Uploads_Content_FastAccess_ELEKTRİK PİYASASI SEKTÖR RAPORU 2016 ŞUBAT55b7adfc.docx
2016,3,2016-03,7111934.62,42.99,_PortalAdmin_Uploads_Content_FastAccess_ELEKTRİK PİYASASI SEKTÖR RAPORU 2016 MART32b357d4.docx
2016,4,2016-04,6990042.74,43.6,_PortalAdmin_Uploads_Content_FastAccess_ELEKTRİK PİYASASI SEKTÖR RAPORU 2016 NİSAN07733b8f.docx
2016,5,2016-05,7241010.53,44.33,_PortalAdmin_Uploads_Content_FastAccess_2016 Yılı Mayıs Ayı Elektrik Piyasası Sektör Raporu1a577a52.docx
2016,6,2016-06,7180956.06,42.04,_PortalAdmin_Uploads_Content_FastAccess_2016 Yılı Haziran Ayı Elektrik Piyasası Sektör Raporu05577902.docx
2016,7,2016-07,6994818.45,36.47,_PortalAdmin_Uploads_Content_FastAccess_2016 TEMMUZ RAPORU-23 09 2016-14 49b2082c83.docx
2016,8,2016-08,8139473.91,39.72,_PortalAdmin_Uploads_Content_FastAccess_2016 AĞUSTOS RAPORU-17 10 20164321051d.docx
2016,9,2016-09,6958566.14,40.89,_PortalAdmin_Uploads_Content_FastAccess_2016 Eylül Elektrik Piyasası Sektör Raporubb0ee889.docx
2016,10,2016-10,7966499.4,45.86,_PortalAdmin_Uploads_Content_FastAccess_Elk_Ekim_2016SekRaporuf2e11446.docx
2016,11,2016-11,7850661.39,45.38,_PortalAdmin_Uploads_Content_FastAccess_2016 yılı Kasım Ayı Elektrik Piyasası Sektör Raporub242c346.docx
2016,12,2016-12,7662815.71,41.77,_PortalAdmin_Uploads_Content_FastAccess_2016 ARALIK RAPORU (2)af75a78a.docx
2017,1,2017-01,7474233.09,39.18,_PortalAdmin_Uploads_Content_FastAccess_2017 Ocak Ayı Elektrik Piyasası Raporu944fd7ab.docx
2017,2,2017-02,7185138.95,40.44,_PortalAdmin_Uploads_Content_FastAccess_2017 Şubat Ayı Elektrik Piyasası Raporuc07da856.docx
2017,3,2017-03,8019393.63,43.267,_PortalAdmin_Uploads_Content_FastAccess_2017 Mart Ayı Elektrik Piyasası Raporu405d4ca0.docx
2017,4,2017-04,7782071.19,44.418,_PortalAdmin_Uploads_Content_FastAccess_2017 Nisan Ayı Elektrik Piyasası Raporu6332c660.docx
2017,5,2017-05,8151583.35,45.192,_PortalAdmin_Uploads_Content_FastAccess_2017 Mayıs Ayı Elektrik Piyasası Raporu.b933207c.docx
2017,6,2017-06,7302728.12,42.129,_PortalAdmin_Uploads_Content_FastAccess_2017 Haziran Ayı Elektrik Piyasası Raporubbceb110.docx
2017,7,2017-07,8099751.04,39.074,_PortalAdmin_Uploads_Content_FastAccess_2017 Temmuz Ayı Elektrik Piyasası Raporu78d95386.docx
2017,8,2017-08,8188584.04,38.729,_PortalAdmin_Uploads_Content_FastAccess_2017 Ağustos Ayı Elektrik Piyasası Raporu8e4c5ab2.docx
2017,9,2017-09,7642970.6,39.174,_PortalAdmin_Uploads_Content_FastAccess_2017 Eylül Ayı Elektrik Piyasası Raporu0b19e532.docx
2017,10,2017-10,8441814.27,45.831,_PortalAdmin_Uploads_Content_FastAccess_2017 Ekim Ayı Elektrik Piyasası Raporu6924f6e8.docx
2017,11,2017-11,8361094.25,44.872,_PortalAdmin_Uploads_Content_FastAccess_2017 Kasım Ayı Elektrik Piyasası Raporue1a1c3fd.docx
2017,12,2017-12,8357021.41,44.25,_PortalAdmin_Uploads_Content_FastAccess_0b5ad77c12629.docx
2018,1,2018-01,8324549.57,41.934,_PortalAdmin_Uploads_Content_FastAccess_df805e4a21013.docx
2018,2,2018-02,7817524.91,42.075,_PortalAdmin_Uploads_Content_FastAccess_c9a2bc0866462.docx
2018,3,2018-03,8621776.44,45.045,_PortalAdmin_Uploads_Content_FastAccess_9c15059c29022.docx
2018,4,2018-04,8250458.89,44.855,_PortalAdmin_Uploads_Content_FastAccess_2ffab71671039.docx
2018,5,2018-05,8562582.97,44.793,_PortalAdmin_Uploads_Content_FastAccess_aedcb0fe55792.docx
2018,6,2018-06,7634065.58,41.016,_PortalAdmin_Uploads_Content_FastAccess_fc5922ea19020.docx
2018,7,2018-07,8737466.1,39.418,_PortalAdmin_Uploads_Content_FastAccess_4f2149af79123.docx
2018,8,2018-08,7397142.2,37.271,_PortalAdmin_Uploads_Content_FastAccess_77b90b4c49319.docx
2018,9,2018-09,7888329.53,38.145,_PortalAdmin_Uploads_Content_FastAccess_d2fae89149445.docx
2018,10,2018-10,8157623.13,43.382,_PortalAdmin_Uploads_Content_FastAccess_e66718fe73386.docx
2018,11,2018-11,7925137.85,42.225,_PortalAdmin_Uploads_Content_FastAccess_36ef1b0b51970.docx
2018,12,2018-12,7640799.68,38.992,_PortalAdmin_Uploads_Content_FastAccess_3d171e4060561.docx
