tablo,yil,beklenen_ay,mevcut_aktif_ay,tam_mi
fact_tuketim,2016,12,12,True
fact_tuketim,2017,12,12,True
fact_tuketim,2018,12,12,True
fact_tuketim,2019,12,12,True
fact_tuketim,2020,12,12,True
fact_tuketim,2021,12,12,True
fact_tuketim,2022,12,12,True
fact_tuketim,2023,12,12,True
fact_tuketim,2024,12,12,True
fact_tuketim,2025,12,12,True
fact_tuketim,2026,9,6,False
fact_uretim,2016,12,12,True
fact_uretim,2017,12,12,True
fact_uretim,2018,12,12,True
fact_uretim,2019,12,12,True
fact_uretim,2020,12,12,True
fact_uretim,2021,12,12,True
fact_uretim,2022,12,11,False
fact_uretim,2023,12,12,True
fact_uretim,2024,12,12,True
fact_uretim,2025,12,12,True
fact_uretim,2026,9,6,False
fact_abone,2021,12,2,False
fact_abone,2022,12,12,True
fact_abone,2023,12,12,True
fact_abone,2024,12,12,True
fact_abone,2025,12,12,True
fact_abone,2026,9,6,False
fact_serbest_tuketici,2026,9,6,False
fact_tuketim_ulke_geneli,2016,12,12,True
fact_tuketim_ulke_geneli,2017,12,12,True
fact_tuketim_ulke_geneli,2018,12,12,True
fact_tuketim_ulke_geneli,2019,12,12,True
fact_tuketim_ulke_geneli,2020,12,12,True
fact_tuketim_ulke_geneli,2021,12,12,True
fact_tuketim_ulke_geneli,2022,12,12,True
fact_tuketim_ulke_geneli,2023,12,12,True
fact_tuketim_ulke_geneli,2024,12,12,True
fact_tuketim_ulke_geneli,2025,12,12,True
fact_tuketim_ulke_geneli,2026,9,6,False
fact_uretim_kaynak_geneli,2016,12,12,True
fact_uretim_kaynak_geneli,2017,12,12,True
fact_uretim_kaynak_geneli,2018,12,12,True
fact_uretim_kaynak_geneli,2019,12,12,True
fact_uretim_kaynak_geneli,2020,12,12,True
fact_uretim_kaynak_geneli,2021,12,12,True
fact_uretim_kaynak_geneli,2022,12,12,True
fact_uretim_kaynak_geneli,2023,12,12,True
fact_uretim_kaynak_geneli,2024,12,11,False
fact_uretim_kaynak_geneli,2025,12,12,True
fact_uretim_kaynak_geneli,2026,9,6,False
fact_uretim_il_geneli,2016,12,12,True
fact_uretim_il_geneli,2017,12,12,True
fact_uretim_il_geneli,2018,12,12,True
fact_uretim_il_geneli,2019,12,12,True
fact_uretim_il_geneli,2020,12,12,True
fact_uretim_il_geneli,2021,12,12,True
fact_uretim_il_geneli,2022,12,12,True
fact_uretim_il_geneli,2023,12,12,True
fact_uretim_il_geneli,2024,12,11,False
fact_uretim_il_geneli,2025,12,12,True
fact_uretim_il_geneli,2026,9,6,False
fact_hava_aylik,2016,12,12,True
fact_hava_aylik,2017,12,12,True
fact_hava_aylik,2018,12,12,True
fact_hava_aylik,2019,12,12,True
fact_hava_aylik,2020,12,12,True
fact_hava_aylik,2021,12,12,True
fact_hava_aylik,2022,12,12,True
fact_hava_aylik,2023,12,12,True
fact_hava_aylik,2024,12,12,True
fact_hava_aylik,2025,12,12,True
fact_hava_aylik,2026,9,8,False
